location_type,folio,role,age,IQ,female,educ,school_type
1,2490,3,6,95.81977,1,0,0
1,2490,3,2,92.45174,0,0,0
1,2498,1,36,124.0875,0,3,0
1,2498,2,31,103.9143,1,6,0
1,2498,3,8,94.47525,1,1,1
1,2516,1,74,96.24152,0,0,0
1,2516,3,27,103.3901,1,6,0
1,2516,3,24,81.63177,1,6,0
1,2516,3,39,115.0893,0,6,0
1,2537,1,37,70.25852,0,6,0
1,2537,2,33,78.89716,1,6,0
1,2537,3,6,104.2959,0,0,0
1,2537,3,3,84.48385,0,0,0
1,2569,3,5,80.60432,0,0,0
1,2581,1,36,99.62268,0,9,0
1,2581,2,33,113.0689,1,6,0
1,2581,3,16,111.0363,1,9,2
1,2581,3,11,106.8654,0,5,1
1,2581,3,14,96.92323,1,8,1
1,2581,3,5,84.62325,1,0,0
1,2598,1,18,77.94946,0,12,0
1,2598,2,35,81.07687,1,9,0
1,2606,1,38,110.8186,0,9,0
1,2606,2,33,88.66051,1,6,0
1,2606,3,9,82.94753,0,1,1
1,2606,3,12,91.6268,0,5,1
1,2606,3,14,86.2318,1,8,1
1,2607,1,50,114.9408,0,6,0
1,2607,2,40,92.52924,1,6,0
1,2607,3,15,112.8007,1,11,1
1,2607,3,15,80.65739,1,10,1
1,2607,3,17,115.1958,1,12,1
1,2607,3,10,98.20477,0,4,1
1,2611,1,42,91.8308,0,0,0
1,2611,3,1,97.84072,1,0,0
1,2611,3,11,97.84525,0,5,1
1,2611,3,9,113.0263,0,3,1
1,2616,1,42,82.44965,0,9,0
1,2616,2,38,80.9022,1,3,0
1,2616,3,9,82.94753,0,3,1
1,2616,3,16,78.84913,0,7,1
1,2616,3,4,82.44965,0,0,0
1,2616,3,12,87.09971,1,5,1
1,2617,1,49,104.5997,0,2,0
1,2617,2,47,99.21066,1,0,0
1,2617,3,14,75.54037,1,5,1
1,2617,3,12,82.57262,1,1,1
1,2617,3,15,90.48085,0,3,0
1,2662,1,29,92.94862,0,2,0
1,2662,2,39,90.33022,1,0,0
1,2662,3,13,81.26927,1,3,1
1,2662,3,10,81.12314,1,1,1
1,2662,3,6,78.8676,1,0,1
1,2662,3,3,84.90777,0,0,0
1,2665,1,45,97.47506,0,5,0
1,2665,2,42,91.8308,1,3,0
1,2665,3,10,64.04151,1,4,1
1,2665,3,16,100.3073,1,9,0
1,2665,3,18,77.94946,0,7,0
1,2679,1,52,96.68279,0,8,0
1,2679,2,50,96.68279,1,3,0
1,2684,1,13,108.3608,0,5,0
1,2684,2,62,95.1256,1,0,0
1,2704,1,53,100.5449,0,9,0
1,2704,2,48,89.79974,1,0,0
1,2704,3,18,94.87591,0,2,0
1,2704,3,13,81.26927,1,5,1
1,2704,3,16,94.87591,0,5,0
1,2704,3,3,94.87591,0,0,0
1,2704,3,32,84.94422,0,6,0
1,2704,3,12,100.681,1,4,1
1,2704,3,9,108.7294,0,1,1
1,2704,3,10,81.12314,1,3,1
1,2704,3,17,99.29592,0,2,0
1,2704,3,8,107.4956,0,2,1
1,2716,1,55,86.59398,0,2,0
1,2716,2,47,84.26592,1,0,0
1,2716,3,19,101.1473,1,9,1
1,2716,3,11,115.8855,1,5,1
1,2716,3,14,118.3061,1,9,1
1,2729,1,51,137.6812,0,12,0
1,2729,2,48,133.2092,1,9,0
1,2729,3,12,118.7893,0,5,1
1,2729,3,13,124.6157,0,7,1
1,2729,3,18,126.9516,1,12,0
1,2762,1,40,81.43339,0,3,0
1,2762,2,38,75.91613,1,0,0
1,2762,3,2,81.43339,0,0,0
1,2762,3,9,70.05662,0,1,1
1,2762,3,14,81.43339,0,3,1
1,2762,3,12,87.09971,1,3,1
1,2762,3,5,92.66109,0,0,0
1,2772,1,24,118.9401,0,8,0
1,2772,2,30,110.6637,1,9,0
1,2772,3,1,114.8019,1,0,0
1,2789,1,27,114.0946,0,5,0
1,2789,2,33,117.9505,1,9,0
1,2809,1,78,92.07424,0,0,0
1,2809,2,55,92.07424,1,2,0
1,2851,1,64,88.03864,0,4,0
1,2851,2,63,116.6459,1,4,0
1,2861,1,37,75.29188,0,6,0
1,2861,2,40,103.0991,1,16,0
1,2861,3,8,103.1555,0,2,1
1,2861,3,10,98.20477,0,4,1
1,2884,1,43,93.36308,0,12,0
1,2884,2,29,87.6849,1,3,0
1,2884,3,12,68.99137,1,5,1
1,2884,3,5,104.7179,0,0,0
1,2887,1,50,94.72578,0,2,0
1,2887,2,38,80.9022,1,3,0
1,2887,3,15,102.0863,0,6,1
1,2887,3,11,79.80495,1,3,1
1,2887,3,17,67.49619,0,2,0
1,2887,3,13,81.26927,1,4,1
1,2904,1,68,104.3554,0,9,0
1,2915,1,63,89.86331,0,3,0
1,2915,2,53,105.8207,1,1,0
1,2915,3,21,101.8838,0,9,0
1,2931,2,74,111.6578,1,3,0
1,2936,1,89,109.7631,0,0,0
1,2936,2,89,83.76273,1,0,0
1,2944,1,17,115.1958,0,10,0
1,2944,2,43,118.572,1,9,0
1,2945,1,67,103.8067,0,3,0
1,2945,2,61,83.37454,1,0,0
1,2945,3,40,124.2388,1,6,0
1,2955,1,52,96.68279,0,0,0
1,2955,2,48,89.79974,1,0,0
1,2955,3,21,80.25928,1,6,0
1,2955,3,11,79.80495,1,5,1
1,2955,3,15,107.4435,1,8,1
1,2955,3,17,104.5959,1,8,1
1,2955,3,4,93.09769,1,0,0
1,2969,1,40,108.384,0,12,0
1,2969,2,40,108.384,1,9,0
1,2975,1,46,108.4344,0,2,0
1,2975,2,39,108.4344,1,6,0
1,2975,3,20,105.8528,0,9,0
1,2975,3,10,111.016,1,4,0
1,2979,1,35,114.9969,0,12,0
1,2979,2,34,94.78603,1,16,0
1,2979,3,10,106.7456,0,3,1
1,2986,1,65,82.47604,0,0,0
1,2986,2,60,90.11324,1,0,0
1,2986,3,16,62.75554,1,3,0
1,2986,3,18,83.39413,0,9,0
1,2987,1,26,129.4051,0,9,0
1,2987,2,27,108.7423,1,12,0
1,2987,3,6,121.248,1,0,0
1,2995,1,40,86.69679,0,9,0
1,2995,2,42,86.69679,1,0,0
1,2996,1,89,78.23775,0,0,0
1,2996,2,78,78.23775,1,0,0
1,2996,3,43,78.23775,0,6,0
1,3023,1,48,75.32993,0,12,0
1,3023,2,35,71.38544,1,0,0
1,3023,3,6,91.58173,0,0,0
1,3023,3,10,102.4752,0,4,1
1,3023,3,12,96.15388,1,3,1
1,3023,3,4,87.32416,0,0,0
1,3023,3,0,87.32416,1,0,0
1,3023,3,7,93.45687,0,1,1
1,3023,3,14,80.88609,1,8,1
1,3060,1,54,105.197,0,6,0
1,3060,2,50,84.61826,1,6,0
1,3060,3,11,88.8251,1,4,1
1,3060,3,13,92.10587,1,6,1
1,3060,3,19,111.6746,1,9,0
1,3060,3,15,96.06948,0,8,0
1,3060,3,17,93.99596,1,9,1
1,3075,1,68,87.58005,0,3,0
1,3075,2,56,91.07493,1,6,0
1,3075,3,28,84.08517,0,6,0
1,3093,1,50,84.61826,0,0,0
1,3093,2,37,85.3586,1,0,0
1,3093,3,11,93.33517,1,4,1
1,3093,3,7,85.25719,1,0,1
1,3093,3,12,105.2081,1,7,1
1,3093,3,17,93.99596,0,9,0
1,3103,1,82,102.2138,0,5,0
1,3103,2,72,90.41346,1,2,0
1,3109,3,15,102.0863,1,7,1
1,3127,1,44,102.9465,0,6,0
1,3127,2,46,127.9085,1,0,0
1,3127,3,15,107.4435,1,9,0
1,3127,3,24,97.62106,1,6,0
1,3127,3,21,107.2899,1,6,0
1,3127,3,13,97.52417,1,7,1
1,3127,3,19,95.88368,1,11,1
1,3130,1,47,114.1554,0,0,0
1,3130,2,42,76.42879,1,9,0
1,3142,1,32,84.94422,0,6,0
1,3142,2,34,73.824,1,5,0
1,3142,3,6,95.81977,0,0,1
1,3142,3,1,90.1927,0,0,0
1,3142,3,12,91.6268,1,6,1
1,3142,3,6,83.10564,0,0,1
1,3142,3,8,111.8358,0,1,1
1,3148,1,53,89.99332,0,2,0
1,3148,2,52,86.32118,1,0,0
1,3148,3,23,77.26641,1,3,0
1,3152,1,37,95.42532,0,6,0
1,3152,2,33,98.42385,1,6,0
1,3152,3,15,123.5151,1,9,1
1,3152,3,9,100.1354,0,4,1
1,3152,3,12,105.2081,1,7,1
1,3155,1,24,92.29129,0,6,0
1,3155,2,24,102.9508,1,9,0
1,3155,3,4,99.84599,1,0,0
1,3155,3,6,104.2959,1,0,0
1,3174,1,19,101.1473,0,9,0
1,3174,2,24,97.62106,1,9,0
1,3174,3,2,99.38419,1,0,0
1,3176,1,69,91.8308,0,0,0
1,3176,2,42,91.8308,1,0,0
1,3181,1,55,106.7182,0,4,0
1,3181,2,75,85.27068,1,3,0
1,3186,1,57,107.6848,0,6,0
1,3186,2,49,99.38961,1,4,0
1,3186,3,16,111.0363,1,6,0
1,3186,3,27,106.5978,0,3,0
1,3186,3,24,108.2806,1,6,0
1,3192,1,45,102.4226,0,9,0
1,3192,2,31,71.17354,1,6,0
1,3192,3,4,90.57578,1,0,0
1,3192,3,10,102.4752,1,5,1
1,3192,3,13,90.57578,0,6,1
1,3192,3,14,86.2318,1,8,0
1,3195,1,48,89.79974,0,0,0
1,3195,2,31,87.54395,1,2,0
1,3195,3,6,78.8676,0,0,1
1,3195,3,4,85.40376,1,0,0
1,3203,1,48,80.1532,0,6,0
1,3203,2,47,94.22909,1,4,0
1,3203,3,17,99.29592,0,10,1
1,3203,3,21,101.8838,1,12,0
1,3208,1,28,73.86442,0,5,0
1,3208,2,29,92.94862,1,9,0
1,3208,3,4,104.5541,0,0,0
1,3208,3,9,125.9173,0,2,1
1,3208,3,6,125.4861,0,0,0
1,3209,1,32,120.7723,0,9,0
1,3209,2,32,125.8906,1,9,0
1,3209,3,2,120.2063,0,0,0
1,3209,3,7,113.9561,1,0,2
1,3209,3,4,120.2063,1,0,0
1,3238,1,63,84.50681,0,10,0
1,3238,2,64,88.03864,1,0,0
1,3273,1,34,93.18204,0,6,0
1,3273,2,34,96.54479,1,6,0
1,3273,3,15,125.9407,0,8,0
1,3273,3,8,132.1427,1,1,0
1,3273,3,11,65.80007,1,5,0
1,3287,1,70,76.62905,0,0,0
1,3287,2,66,76.62905,1,0,0
1,3287,3,27,76.62905,1,9,0
1,3289,1,43,108.4884,0,6,0
1,3289,2,42,91.8308,1,6,0
1,3289,3,23,123.3119,0,6,0
1,3302,1,63,95.21983,0,2,0
1,3302,2,54,79.3294,1,0,0
1,3302,3,15,69.94295,1,5,1
1,3302,3,18,81.49739,1,5,0
1,3302,3,13,81.49739,0,3,1
1,3303,1,33,98.42385,0,8,0
1,3303,2,31,103.9143,1,7,0
1,3303,3,13,108.3608,0,6,1
1,3303,3,11,115.8855,1,5,1
1,3303,3,10,106.7456,1,3,1
1,3303,3,4,104.6447,1,0,0
1,3303,3,2,104.6447,1,0,0
1,3303,3,8,133.5364,0,1,1
1,3303,3,9,82.94753,1,2,1
1,3303,3,6,87.34369,0,0,1
1,3303,3,0,104.6447,1,0,0
1,3322,1,58,110.0595,0,0,0
1,3322,2,53,121.6481,1,3,0
1,3322,3,21,112.696,0,7,0
1,3322,3,17,109.8958,0,9,0
1,3325,1,57,83.67952,0,4,0
1,3325,2,48,84.97646,1,6,0
1,3325,3,23,82.38258,0,9,0
1,3332,1,57,129.258,0,6,0
1,3332,2,52,86.32118,1,6,0
1,3338,1,66,79.76607,0,0,0
1,3338,2,56,85.43499,1,0,0
1,3338,3,18,77.94946,1,4,0
1,3338,3,30,74.18028,0,5,0
1,3338,3,13,81.26927,1,4,1
1,3338,3,20,79.99635,1,3,0
1,3338,3,25,79.76607,0,4,0
1,3341,1,68,124.799,0,4,0
1,3341,2,27,124.799,1,6,0
1,3355,1,45,106.3762,0,6,0
1,3355,2,44,115.0039,1,9,0
1,3355,3,11,96.7945,1,5,0
1,3355,3,18,107.0145,1,16,0
1,3355,3,7,86.54593,1,1,0
1,3355,3,16,93.83775,0,11,0
1,3364,1,58,88.72113,0,6,0
1,3364,2,48,84.97646,1,6,0
1,3364,3,21,96.47766,1,9,0
1,3364,3,26,119.015,1,9,0
1,3408,1,53,126.9239,0,4,0
1,3408,2,47,114.1554,1,3,0
1,3408,3,20,105.8528,1,11,0
1,3408,3,18,116.0622,1,11,1
1,3408,3,23,102.8473,0,6,0
1,3408,3,26,113.1683,0,16,0
1,3426,1,23,97.73109,0,6,0
1,3426,2,21,101.8838,1,6,0
1,3426,3,5,100.6989,1,0,0
1,3426,3,1,100.1046,1,0,0
1,3427,1,84,99.44627,0,0,0
1,3427,2,69,99.44627,1,0,0
1,3427,3,48,99.44627,1,4,0
1,3438,1,64,132.7154,0,3,0
1,3438,2,63,132.7154,1,2,0
1,3438,3,44,132.7154,0,6,0
1,3446,1,65,82.47604,0,3,0
1,3446,2,60,79.59657,1,5,0
1,3446,3,16,84.21366,0,7,1
1,3446,3,13,102.9425,0,4,1
1,3446,3,24,76.30202,0,9,0
1,3471,1,4,82.08714,0,0,0
1,3471,2,31,82.08714,1,6,0
1,3472,1,46,104.1699,0,6,0
1,3472,2,41,84.53217,1,9,0
1,3472,3,22,76.06078,1,9,0
1,3472,3,21,118.1022,0,7,0
1,3472,3,18,116.0622,0,8,0
1,3472,3,8,90.13512,1,2,1
1,3484,1,43,78.23775,0,7,0
1,3484,2,40,92.52924,1,3,0
1,3484,3,14,75.54037,0,6,1
1,3484,3,19,80.09274,0,6,1
1,3484,3,16,78.84913,1,6,0
1,3520,1,46,89.92669,0,5,0
1,3520,2,46,118.4131,1,9,0
1,3530,1,32,105.4174,0,6,0
1,3530,2,29,77.15748,1,6,0
1,3530,3,3,95.60261,1,0,0
1,3530,3,5,96.68002,1,0,0
1,3530,3,8,103.1555,1,1,1
1,3557,1,19,116.9383,0,12,0
1,3557,2,36,119.1946,1,8,0
1,3568,1,48,80.1532,0,6,0
1,3568,2,41,84.53217,1,2,0
1,3568,3,10,98.20477,1,3,1
1,3568,3,17,109.8958,0,9,0
1,3568,3,18,105.1729,1,6,0
1,3568,3,15,102.0863,0,7,1
1,3568,3,18,110.6175,1,9,0
1,3568,3,8,85.79499,1,1,1
1,3568,3,13,75.85097,1,4,1
1,3581,1,43,98.40486,0,4,0
1,3581,2,45,112.3176,1,3,0
1,3581,3,16,100.3073,0,8,1
1,3581,3,19,101.1473,1,9,0
1,3581,3,12,105.2081,0,5,1
1,3593,1,75,105.492,0,0,0
1,3593,2,37,105.492,1,10,0
1,3599,1,32,90.06252,0,10,0
1,3599,2,32,95.18082,1,9,0
1,3599,3,7,93.45687,0,1,1
1,3604,1,43,103.4466,0,4,0
1,3604,2,41,89.65115,1,0,0
1,3604,3,16,78.84913,0,9,1
1,3604,3,6,100.0578,0,0,0
1,3604,3,12,78.04554,1,5,1
1,3604,3,18,83.39413,0,10,1
1,3604,3,13,108.3608,0,7,1
1,3607,1,51,96.09534,0,7,0
1,3607,2,44,97.95481,1,6,0
1,3607,3,18,94.2835,0,7,0
1,3607,3,16,105.6718,0,9,0
1,3607,3,21,107.2899,1,9,0
1,3622,1,37,110.5254,0,8,0
1,3622,2,63,111.2894,1,6,0
1,3631,1,28,119.8578,0,9,0
1,3631,2,30,105.4518,1,9,0
1,3631,3,5,104.7179,1,0,0
1,3631,3,1,112.8189,0,0,0
1,3631,3,6,121.248,0,0,1
1,3633,1,34,96.85789,0,9,0
1,3633,2,40,81.95939,1,9,0
1,3633,3,16,105.6718,0,10,1
1,3633,3,4,96.85789,1,0,0
1,3633,3,13,102.9425,1,8,1
1,3639,1,64,91.25532,0,0,0
1,3639,2,63,89.86331,1,1,0
1,3639,3,39,80.42661,1,6,0
1,3639,3,29,103.476,1,6,0
1,3661,1,59,93.83135,0,5,0
1,3661,2,57,96.89815,1,3,0
1,3664,1,86,69.59245,0,0,0
1,3664,2,77,87.40927,1,3,0
1,3668,1,43,88.3213,0,9,0
1,3668,2,41,84.53217,1,0,0
1,3668,3,5,92.66109,1,0,0
1,3668,3,4,93.44831,0,0,0
1,3668,3,15,107.4435,0,8,1
1,3668,3,18,94.2835,0,9,0
1,3679,1,67,84.17956,0,0,0
1,3679,2,62,84.17956,1,0,0
1,3690,1,41,94.77014,0,3,0
1,3690,2,37,75.29188,1,6,0
1,3705,1,45,87.58001,0,9,0
1,3705,2,41,89.65115,1,0,0
1,3710,1,32,95.18082,0,6,0
1,3710,2,27,76.62905,1,9,0
1,3710,3,4,72.78087,0,0,0
1,3710,3,12,46.35594,1,4,1
1,3710,3,7,72.95765,1,0,1
1,3713,1,46,89.92669,0,3,0
1,3713,2,39,80.42661,1,12,0
1,3713,3,13,108.3608,0,8,1
1,3713,3,19,93.09433,0,10,0
1,3713,3,10,102.4752,0,3,1
1,3713,3,8,85.79499,0,3,1
1,3713,3,15,93.09433,0,8,0
1,3713,3,6,91.58173,0,0,0
1,3729,1,64,93.88641,0,2,0
1,3729,2,95,93.88641,1,0,0
1,3748,1,32,90.06252,0,9,0
1,3748,2,69,90.06252,1,9,0
1,3784,1,70,101.7632,0,6,0
1,3788,2,60,84.8549,1,0,0
1,3804,1,43,88.3213,0,0,0
1,3804,2,26,82.64948,1,0,0
1,3804,3,2,85.19801,1,0,0
1,3804,3,0,85.19801,0,0,0
1,3804,3,5,84.62325,1,0,0
1,3814,1,57,96.89815,0,7,0
1,3814,2,48,109.0928,1,4,0
1,3816,1,51,80.50066,0,0,0
1,3816,2,44,87.97152,1,0,0
1,3816,3,10,76.85273,0,2,1
1,3816,3,4,80.52898,1,0,0
1,3816,3,15,64.58572,1,5,1
1,3816,3,13,92.10587,0,4,1
1,3816,3,7,81.15734,1,0,1
1,3821,1,35,100.4597,0,2,0
1,3821,2,24,81.63177,1,3,0
1,3821,3,2,83.91337,1,0,0
1,3821,3,7,72.95765,1,1,1
1,3821,3,3,83.91337,0,0,0
1,3821,3,5,80.60432,0,0,0
1,3821,3,0,83.91337,0,0,0
1,3844,1,36,94.72971,0,10,0
1,3844,2,34,94.78603,1,9,0
1,3844,3,11,102.3553,1,5,1
1,3844,3,14,91.57751,0,9,1
1,3864,1,38,90.87434,0,0,0
1,3864,2,35,90.7683,1,0,0
1,3864,3,12,105.2081,1,6,1
1,3864,3,18,99.72818,1,9,0
1,3864,3,7,122.1558,0,1,1
1,3864,3,19,111.6746,0,9,0
1,3869,1,80,104.216,0,0,0
1,3869,2,77,113.4847,1,2,0
1,3869,3,40,109.0092,0,2,0
1,3871,1,70,104.7516,0,0,0
1,3871,2,58,104.7516,1,0,0
1,3871,3,22,95.89283,1,9,0
1,3871,3,24,113.6103,0,9,0
1,3877,1,68,79.3294,0,3,0
1,3877,2,54,79.3294,1,0,0
2,2202,1,17,72.79614,0,3,0
2,2202,2,22,90.93482,1,3,0
2,2202,3,0,81.86548,1,0,0
2,2203,3,2,110.3297,1,0,0
2,2204,2,24,81.63177,1,7,0
2,2204,3,1,95.68385,1,0,0
2,2204,3,5,96.68002,1,0,0
2,2206,1,71,110.754,0,3,0
2,2206,2,70,89.86452,1,0,0
2,2207,1,65,106.9652,0,6,0
2,2207,2,52,107.0444,1,6,0
2,2208,1,72,114.4939,0,0,0
2,2208,2,69,99.69099,1,0,0
2,2213,2,21,91.07153,1,12,0
2,2214,1,40,108.384,0,16,0
2,2214,2,38,95.8604,1,16,0
2,2214,3,0,107.1365,0,0,0
2,2214,3,6,125.4861,0,0,0
2,2214,3,8,98.81538,1,2,1
2,2216,1,49,130.6503,0,6,0
2,2216,2,37,115.5588,1,6,0
2,2216,3,11,102.3553,1,5,1
2,2216,3,17,115.1958,0,9,1
2,2216,3,13,113.7791,0,7,1
2,2217,1,28,89.19555,0,9,0
2,2217,2,32,100.2991,1,16,0
2,2227,1,64,86.9361,0,4,0
2,2232,1,29,98.21233,0,2,0
2,2232,2,32,84.94422,1,0,0
2,2232,3,7,77.0575,1,0,1
2,2232,3,5,80.60432,0,0,0
2,2239,1,42,107.2328,0,12,0
2,2239,2,34,115.7481,1,9,0
2,2241,2,42,91.8308,1,4,0
2,2242,1,48,104.2695,0,12,0
2,2242,2,48,94.623,1,6,0
2,2242,3,20,85.16763,1,16,2
2,2242,3,14,80.88609,0,8,1
2,2242,3,18,110.6175,1,6,1
2,2246,1,47,104.1922,0,6,0
2,2246,2,55,103.0348,1,3,0
2,2246,3,17,104.5959,0,11,0
2,2246,3,14,107.6147,1,8,1
2,2250,1,24,108.2806,0,9,0
2,2254,1,53,89.99332,0,6,0
2,2256,1,22,113.6103,0,9,0
2,2256,2,24,113.6103,1,12,0
2,2259,1,62,75.78736,0,1,0
2,2259,2,42,75.78736,1,2,0
2,2259,3,19,75.78736,0,9,0
2,2259,3,25,75.78736,0,12,0
2,2259,3,24,81.63177,1,12,0
2,2263,1,83,107.6105,0,1,0
2,2263,2,73,107.6105,1,1,0
2,2263,3,38,115.8047,1,12,0
2,2263,3,28,99.4163,0,10,0
2,2265,2,16,68.12007,1,6,0
2,2267,1,31,120.2847,0,8,0
2,2267,2,26,72.25933,1,5,0
2,2267,3,3,102.4666,1,0,0
2,2267,3,9,113.0263,1,4,1
2,2267,3,6,104.2959,0,1,1
2,2272,1,73,115.8756,0,1,0
2,2272,2,30,115.8756,1,9,0
2,2277,2,52,86.32118,1,0,0
2,2277,3,21,118.1022,1,16,1
2,2277,3,28,119.8578,0,12,0
2,2277,3,16,111.0363,1,10,1
2,2277,3,32,120.7723,0,16,0
2,2277,3,27,103.3901,1,16,1
2,2280,1,41,96.75552,0,2,0
2,2280,2,36,84.94376,1,6,0
2,2280,3,10,102.4752,0,4,1
2,2280,3,14,96.75552,0,6,1
2,2280,3,3,96.75552,0,0,0
2,2283,1,45,97.47506,0,6,0
2,2283,3,19,122.2019,0,9,0
2,2283,3,22,115.7249,0,16,0
2,2283,3,20,111.0241,1,8,1
2,2286,1,39,115.0893,0,9,0
2,2286,2,41,99.88912,1,4,0
2,2286,3,17,115.1958,0,9,0
2,2286,3,15,107.4435,0,9,2
2,2286,3,18,116.0622,0,9,0
2,2288,1,27,98.03791,0,9,0
2,2288,3,1,98.1363,0,0,0
2,2289,1,23,82.38258,0,9,0
2,2289,2,21,80.25928,1,8,0
2,2296,1,59,111.4955,0,4,0
2,2297,1,46,89.92669,0,0,0
2,2297,2,49,83.75928,1,1,0
2,2297,3,9,95.83845,1,1,1
2,2297,3,13,81.26927,1,6,1
2,2299,1,40,92.52924,0,8,0
2,2299,2,41,94.77014,1,5,0
2,2299,3,11,93.33517,1,4,2
2,2299,3,22,90.93482,1,12,0
2,2299,3,14,91.57751,0,7,1
2,2299,3,20,90.33891,0,6,0
2,2299,3,13,92.10587,1,6,1
2,2301,2,40,87.24432,1,6,0
2,2303,2,37,90.39196,1,8,0
2,2304,2,55,92.07424,1,1,0
2,2305,2,70,104.5959,1,3,0
2,2306,1,45,87.58001,0,2,0
2,2306,2,77,87.58001,1,0,0
2,2311,1,79,91.5068,0,3,0
2,2315,3,2,88.55566,0,0,0
2,2316,1,44,87.97152,0,0,0
2,2317,1,43,128.6555,0,12,0
2,2317,3,15,118.1579,0,6,1
2,2317,3,9,125.9173,1,3,1
2,2317,3,11,111.3755,0,4,1
2,2318,1,53,89.99332,0,6,0
2,2328,1,33,69.13381,0,3,0
2,2328,3,10,81.12314,0,3,1
2,2328,3,16,89.57819,1,6,0
2,2328,3,18,83.39413,1,3,0
2,2330,1,38,90.87434,0,8,0
2,2330,2,17,62.19624,1,0,0
2,2330,3,2,76.53529,1,0,0
2,2330,3,1,76.53529,0,0,0
2,2333,2,54,120.7176,1,3,0
2,2336,2,28,124.9682,1,6,0
2,2340,3,3,119.2897,1,0,0
2,2341,2,26,77.45441,1,5,0
2,2347,1,31,98.45754,0,8,0
